Customers,Arrivals,Arrivals at Machine,Departures
0,98.0,98.0,396.9834705813256
1,955.756431384741,2032.2665988556719,2320.2681150896733
2,1351.3642062969889,2320.2681150896733,2569.3127929917946
3,1404.7048894857753,2569.3127929917946,2824.2607644503532
4,1805.5333818296563,3540.8369273811895,3788.677048097979
5,1966.6838162284864,7527.143197421408,7793.939265903028
6,2411.587696524729,9799.376504237998,10087.082288135141
7,2429.0840257938416,10265.01282935816,10468.11059066764
8,3165.189056585774,10468.11059066764,10676.210949169046
9,3170.033516563828,13735.461094475018,13915.88198897561
10,3685.996616286962,14428.481245737777,14658.521808405907
11,3839.173718894554,14658.521808405907,14900.218107836583
12,3858.734432398637,14900.218107836583,15177.825131252504
13,4030.5466589514517,15177.825131252504,15391.212188452599
14,4207.55191635665,15391.212188452599,15589.632864826854
15,4470.955641963254,15589.632864826854,15773.850834414176
16,4551.647433909384,15773.850834414176,15993.766618053334
17,4962.12165631126,16776.98769612582,17054.38691438267
18,5173.495535219813,17054.38691438267,17343.259840064406
19,5428.316900331754,17343.259840064406,17725.294277185705
20,5447.076326845911,34413.642032433476,34668.65881254918
21,6521.429497458769,460262.4815378527,460467.82701425126
22,6762.170692955111,914843.68873721,915133.7296954334
23,7132.371709852483,1291890.0349795816,1292139.8837071822
24,7720.6145122079115,1351349.4735719112,1351587.7293398767
25,8466.468410056,1352038.0821212744,1352326.7873272132
26,8925.865275392835,1751284.9834121228,1751591.545881532
27,8947.421899410676,1757114.3917074085,1757296.8381573008
28,9013.390719432402,1766770.285585487,1766995.3223659024
29,9121.902969494486,1769320.1293650444,1769578.0941159823
30,9672.97593149645,1856925.2277282167,1857067.856784485
