Customers,Arrivals,Arrivals at Machine,Departures
0,108445.37221846674,108984.73312565083,109154.82141669939
1,108832.53376379648,109306.80522084032,109481.49029805597
2,101776.950434555,102310.64669338615,102478.51138964092
3,111049.00914803255,111608.08766746773,111780.84578816622
4,111880.64149252702,112401.4839566366,112575.1595690406
5,98985.26367165675,99468.7984794662,99647.10141448205
6,97870.70353813349,98447.69435082306,98618.2642695697
7,103824.93909747689,104371.4575248643,104539.56642967045
8,107872.77601332107,108417.31182279545,108587.42442013203
9,110570.80499266683,111110.1526545463,111281.67710283092
10,100911.12686964228,101392.05160256392,101567.2857673779
11,107945.4083855981,108481.8586979828,108651.28556226021
12,99556.13576398217,100044.0719822682,100221.34431898165
13,98786.8694878282,99270.56062455596,99447.07414272126
14,99744.82226672319,100254.91870839943,100433.01232000938
15,102715.31712514386,103248.35821296903,103418.14304604489
16,105541.49370997571,106088.64770223177,106257.32891493701
17,104301.48040360087,104826.77134994388,104995.14597150534
18,99513.53406791041,99995.1486468538,100172.50667039165
19,105197.5754504173,105672.13373283656,105847.75363904852
20,99961.57669064892,100433.2371320421,100611.51774525215
21,110690.93131576673,111183.61726386605,111353.26243174278
22,110363.29247127526,110921.43854769159,111092.22662530215
23,98985.52313299145,99456.44572882846,99633.17925680631
24,100295.1505553469,100838.30452085145,101008.18492655683
25,107160.7646180607,107699.37888380112,107869.05614600726
26,110364.23828382573,110866.53270273533,111040.7109359967
27,100901.87809897152,101397.58799840946,101573.57871914572
28,112441.89093175065,112951.6465345064,113124.11328989003
29,105404.44626120823,105877.89490004034,106055.08397345926
30,113153.18798045424,113681.3470243265,113853.98348874955
31,108877.93810819024,109404.63663400596,109574.08608940172
32,99078.55007573059,99555.62150979025,99733.76312863364
33,103229.38720592327,103677.52664914013,103855.81404365928
34,109428.14848502055,109967.99809881247,110139.74960002607
35,105628.09044748789,106163.66800965021,106330.9799095366
36,100651.19018534457,101144.69924572372,101320.82378087642
37,105076.0618993663,105564.93101093898,105740.39003347687
38,112321.58496767044,112833.73215515682,113005.53488502905
39,110603.49305752465,111116.52101135014,111290.30348194332
40,108689.73465226835,109198.45048223666,109368.86632439258
41,103554.13701038028,104035.78178667062,104211.93698930697
42,112075.39003540817,112591.90273266645,112763.7372657284
43,110635.57692846996,111123.3488578243,111295.48394111067
44,110610.18206356616,111149.90690517223,111321.48904231495
45,110195.00942265768,110721.43550808824,110890.91667450599
46,99163.67042852666,99635.09348288827,99812.20948939689
47,109101.43673532977,109648.48308436976,109819.76757357002
48,105958.49290821416,106490.66196805052,106659.98460906497
49,109520.23171721853,110029.35206429828,110197.65029881653
50,101711.51885054965,102251.88020844325,102419.42456797133
51,110987.34338133564,111502.9652881639,111677.1397631328
52,111574.28022226841,112076.0366441818,112245.6262182431
53,106774.50194243251,107311.26605671705,107480.3763965894
54,112092.92531199915,112578.46749039329,112751.75888713216
55,107908.81256437043,108468.48563621525,108637.60765537262
56,100484.70702070121,101022.7037696975,101189.80702127132
57,109820.2847436073,110353.63735305371,110522.32510970703
58,107183.11389948585,107730.47491873884,107903.3538654222
59,108186.10507670768,108726.66579161398,108897.20162948764
60,112848.78130243633,113343.68024947251,113514.04098717314
61,100375.1509659084,101008.65044223462,101176.76396084795
62,105607.69118707914,106144.72573093073,106312.9150305797
63,110844.31328205658,111360.62095176136,111531.18297445055
64,104181.94573778857,104679.01337180719,104854.64292075037
65,105321.90192457021,105820.3642606563,105996.88721727181
66,104557.97326175887,105152.15339968623,105325.53642255694
67,109626.89360524087,110169.78197618469,110341.35297426481
68,103475.9698409829,103998.07913141533,104166.9818684566
69,100941.02356877983,101475.67795907406,101642.32751825299
70,106448.56143854621,106981.80308837819,107149.99550264116
71,112206.37152594831,112716.45922839809,112887.76622933
72,112767.84421155731,113299.2219545877,113473.93814256182
73,107914.59745385888,108433.89496789951,108605.01394870931
74,112037.00519668474,112556.39622108715,112728.49780209284
75,100347.20503196603,100918.65004497166,101087.33619840507
76,100360.68763615814,100831.26450457369,101006.80578281873
77,111593.5791968643,112103.04017124657,112274.2224172635
78,104491.84119982994,105006.91218844756,105176.01435705248
79,112934.31427826737,113433.55309020063,113606.33977979753
80,101255.37037807435,101788.35325403218,101957.93281657294
81,112499.51199151712,113048.04665876257,113221.73706761637
82,111318.38358591392,111824.20567973191,111997.87912243593
83,109350.03761042218,109881.64614292963,110051.69610346068
84,98716.70862864002,99202.23373584938,99378.43759751711
85,100302.15041654259,100791.82412201415,100970.5222814155
86,99135.26569019034,99598.1814752312,99775.1022346212
87,111259.73769746914,111822.61571987347,111992.72275541321
88,107749.45972460495,108285.68454377315,108455.15930484272
89,103738.99672840233,104332.87590234129,104503.42103948545
90,110948.79087319614,111467.2231791164,111638.39997935476
91,108685.26401505704,109223.5227017728,109393.09338413713
92,107060.50151232565,107597.1897993162,107766.33310161122
93,111938.4831878905,112495.24268060652,112665.62310116387
94,99672.26634375079,100166.795134618,100344.70401093733
95,109228.0478344174,109722.93210094338,109892.24801015196
96,98872.2036166369,99373.78310541724,99549.87558616305
97,112008.92058981031,112521.05583609079,112692.70785475065
98,101175.92064472294,101656.99056892516,101833.62866451935
99,100386.4650991131,100854.61490529876,101033.0541926473
100,109792.5872717684,110307.22064224172,110477.91177121727
