Customers,Arrivals,Arrivals at Machine,Departures
0,22345.595183946538,29255.857976412015,0.0
1,79780.61641287089,84314.26731997718,0.0
2,3978.70146396819,19713.697982503487,0.0
3,49466.34775442409,58167.875304596804,0.0
4,52161.21224041554,58147.09352331505,0.0
5,97339.79161558198,103156.60894715956,0.0
6,4885.147317246404,9566.912539296975,0.0
7,7088.70660484491,16674.0508845553,0.0
8,13855.865405095334,18384.84542803381,0.0
9,31060.71343425154,36181.055827918884,0.0
10,102117.17013967746,107821.37976031796,0.0
11,17767.109972986596,29364.123080952548,0.0
12,87866.44043629852,93367.26254370103,0.0
13,92973.24134283818,99174.7531738919,0.0
14,91915.10547824755,97735.69711526166,0.0
15,2302.0995420889935,7502.152105534346,0.0
16,6068.527252353443,29382.914397427285,0.0
17,9216.07039434143,15337.628558802868,0.0
18,89312.54626484403,94480.01931547688,0.0
19,87463.92739911376,92689.21731972168,0.0
20,92459.03755056899,97818.81611790779,0.0
21,21089.885404604596,27235.482237118402,0.0
22,23615.54306115697,36641.70257712445,0.0
23,94994.4033335393,99555.1384893594,0.0
24,333.9600283029699,1247.3942827802964,0.0
25,18448.9339901617,24530.19393531868,0.0
26,70548.01899653905,75454.76176054582,0.0
27,91783.971550127,98172.97089189808,0.0
28,60937.53574758159,66600.81305142568,0.0
29,85688.86988585419,90440.46793521891,0.0
30,41319.47273805873,46043.63604603076,0.0
31,26214.3246244976,33458.42764706247,0.0
32,105872.68314217996,111406.18415524471,0.0
33,95981.00615824688,101622.68095825234,0.0
34,33847.60800038811,42332.12293038055,0.0
35,7432.35293737389,39710.7273488343,0.0
36,97414.67929704998,102682.32735958378,0.0
37,90292.7445577697,95389.43327184531,0.0
38,39760.264437635815,44401.32335585982,0.0
39,61070.775994052,68211.29463134897,0.0
40,23195.807153734284,27138.42872596751,0.0
41,91832.8834558523,97161.03352369482,0.0
42,46717.7203810145,51509.0010807091,0.0
43,71428.56748332389,76512.61141547906,0.0
44,31394.848518907955,37492.90497089033,0.0
45,28942.392823682945,37995.83377989829,0.0
46,104824.51041364188,109571.25709586637,0.0
47,36445.48800230791,42804.95849366507,0.0
48,20172.230476848094,25791.527408303802,0.0
49,17965.837981526933,21754.691053456296,0.0
50,1539.4531993562923,15722.538699850697,0.0
51,69504.70703136707,73942.37477813363,0.0
52,30536.613887912023,33936.72280453781,0.0
53,15686.993427554657,25857.709613481915,0.0
54,68286.11849963675,72842.45252968145,0.0
55,17204.978960255306,29485.363466330688,0.0
56,424.99873569066966,40392.599595801454,0.0
57,28315.351940729743,34497.14608517233,0.0
58,38496.9246604169,42392.79112544994,0.0
59,19317.328929216867,27180.90218672344,0.0
60,43425.618344227936,47947.675072601975,0.0
61,652.8905054268663,87768.55981222528,0.0
62,13422.635174109451,17814.781677653085,0.0
63,32983.60692398717,38079.377190785795,0.0
64,79630.46825734791,85783.91482327881,0.0
65,79115.61309987743,84880.72265183777,0.0
66,31162.732749261057,35434.23115899015,0.0
67,13487.98762026496,20743.820249675755,0.0
68,9241.043120506525,18054.663200159976,0.0
69,2254.548859406862,23812.74296614655,0.0
70,12952.342947927504,22043.73149270628,0.0
71,45192.76679469084,51783.75976688715,0.0
72,50563.5501204673,56137.64235722222,0.0
73,26015.351269146875,33637.15789304082,0.0
74,45969.09683221305,51793.936014978644,0.0
75,588.9137772677673,113928.45435211466,0.0
76,82471.2189203187,87684.66613153376,0.0
77,49511.53650653764,55826.15600636802,0.0
78,1397.1700651687954,9130.460545821023,0.0
79,52060.81316701206,56790.270574941744,0.0
80,3223.9813377240753,11012.72230263143,0.0
81,54948.35910541387,60094.16161719724,0.0
82,57253.58067663447,62757.95495688192,0.0
83,27219.313283131734,32952.67020866853,0.0
84,104088.27048643203,108777.53068628254,0.0
85,74703.55548613452,80781.1121021698,0.0
86,93875.4519094166,99151.64461133134,0.0
87,30414.03256512299,37868.84682636257,0.0
88,18936.375880050597,24008.365123644857,0.0
89,9714.571760311717,33101.704858145946,0.0
90,40281.87077915169,46229.79294654673,0.0
91,15969.099429082537,23664.806606279508,0.0
92,16082.542521959753,21290.430373231546,0.0
93,35815.822550795485,44980.419226443926,0.0
94,90014.65790647986,95866.67930046616,0.0
95,22009.9357547943,26138.771590419066,0.0
96,100046.27661303144,107366.22025578843,0.0
97,50314.148660693776,55900.782069378976,0.0
98,114049.352590046,118882.47672783693,0.0
99,93422.74359635303,98394.5908876108,0.0
100,24487.177883034157,31774.7266568754,0.0
