Timestep,Queue 1,Queue 2,Queue 3,Queue 4,Queue 5,Queue 6,Queue 7
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0
3,0,0,0,0,0,1,0
4,0,0,0,0,0,1,1
5,0,0,0,0,0,1,1
6,1,0,0,0,0,0,1
7,0,0,0,0,0,0,1
8,1,0,0,0,0,0,1
9,1,1,0,0,0,0,1
10,1,1,0,0,0,1,1
11,2,1,0,0,0,1,1
12,2,1,0,0,0,0,1
13,2,1,0,0,0,1,1
14,1,2,0,0,0,1,1
15,2,2,0,0,0,1,1
16,1,1,0,0,0,2,1
17,2,1,0,0,0,2,1
18,1,1,0,0,0,1,3
19,2,1,0,0,0,1,3
20,1,1,0,0,0,1,3
21,2,1,0,0,0,1,3
22,2,2,0,0,0,0,3
23,2,1,0,0,0,1,3
24,1,2,0,0,0,1,3
25,2,1,0,0,0,1,3
26,2,1,0,0,0,1,3
27,2,2,0,0,0,1,3
28,2,2,0,0,0,2,3
29,3,2,0,0,0,2,3
30,3,3,0,0,0,2,3
31,3,3,0,0,0,3,3
32,3,3,0,0,0,3,3
33,3,2,0,0,0,2,4
34,3,3,0,0,0,2,4
35,3,3,0,0,0,3,4
36,4,3,0,0,0,3,4
37,3,3,0,0,0,3,4
38,4,3,0,0,0,3,4
39,3,4,0,0,0,3,4
40,4,4,0,0,0,3,4
41,4,3,0,0,0,4,4
42,4,4,0,0,0,4,4
43,4,4,0,0,0,3,4
44,3,4,1,0,0,3,4
45,3,4,2,0,0,3,4
46,3,4,2,0,0,3,4
47,1,3,2,0,0,3,4
48,2,3,2,0,0,2,4
49,2,3,2,0,0,2,4
50,3,2,1,0,0,2,4
51,3,2,2,0,0,2,4
52,2,3,2,0,0,2,4
53,3,3,2,0,0,2,4
54,3,3,3,0,0,2,4
55,0,0,0,0,0,1,4
56,0,0,0,0,0,1,4
57,0,0,0,0,0,1,4
58,1,0,0,0,0,1,4
59,1,0,0,0,0,1,4
60,0,1,0,0,0,1,4
61,1,1,0,0,0,0,4
62,1,1,0,0,0,1,4
63,2,1,0,0,0,1,4
64,2,2,0,0,0,1,4
65,1,1,0,0,0,2,4
66,2,1,0,0,0,2,4
67,2,2,0,0,0,2,4
68,3,2,0,0,0,2,4
69,3,3,0,0,0,2,4
70,2,2,0,0,0,2,4
71,3,2,0,0,0,2,4
72,3,2,0,0,0,2,4
73,2,3,0,0,0,2,4
74,3,3,0,0,0,2,4
75,3,3,0,0,0,3,4
76,4,3,0,0,0,3,4
77,3,4,0,0,0,2,4
78,3,4,0,0,0,3,4
79,4,2,0,0,0,3,4
80,3,2,0,0,0,3,4
81,2,3,0,0,0,3,4
82,3,3,0,0,0,3,4
83,4,3,0,0,0,2,4
84,4,3,0,0,0,3,4
85,4,4,0,0,0,3,4
86,3,3,0,0,0,4,4
87,4,3,0,0,0,4,4
88,3,3,0,0,0,4,4
89,4,3,0,0,0,4,4
90,4,4,0,0,0,3,4
